"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2135","Test Case 8: Verify All Products and product detail page","Automation Exercise - Products Feature","Tue Nov 19 01:52:44 GMT 2024","passed","Tue Nov 19 01:52:46 GMT 2024","","","",""
"","1837","Test Case 3: Login User with incorrect email and password","Automation Exercise - Login Feature","Tue Nov 19 01:52:30 GMT 2024","passed","Tue Nov 19 01:52:32 GMT 2024","","","",""
"","2186","Test Case 9: Search Product","Automation Exercise - Products Feature","Tue Nov 19 01:52:46 GMT 2024","passed","Tue Nov 19 01:52:48 GMT 2024","","","",""
"","4160","Test Case 6: Contact Us Form","Automation Exercise - Contact Us Feature","Tue Nov 19 01:52:10 GMT 2024","passed","Tue Nov 19 01:52:14 GMT 2024","","","",""
"","1959","Test Case 5: Register User with existing email","Automation Exercise - Login Feature","Tue Nov 19 01:52:35 GMT 2024","passed","Tue Nov 19 01:52:37 GMT 2024","","","",""
"","6876","Test Case 1: Register User","Automation Exercise - Login Feature","Tue Nov 19 01:52:21 GMT 2024","passed","Tue Nov 19 01:52:27 GMT 2024","","","",""
"","15134","Test Case 15: Place Order: Register before Checkout","Automation Exercise - Products Feature","Tue Nov 19 01:52:48 GMT 2024","passed","Tue Nov 19 01:53:03 GMT 2024","","","",""
"","2770","Test Case 4: Logout User","Automation Exercise - Login Feature","Tue Nov 19 01:52:32 GMT 2024","passed","Tue Nov 19 01:52:35 GMT 2024","","","",""
"","2357","Test Case 2: Login User with correct email and password","Automation Exercise - Login Feature","Tue Nov 19 01:52:28 GMT 2024","passed","Tue Nov 19 01:52:30 GMT 2024","","","",""
"","1403","Test Case 10: Verify Subscription in home page","Automation Exercise","Tue Nov 19 01:53:07 GMT 2024","passed","Tue Nov 19 01:53:08 GMT 2024","","","",""
