"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8079","Test Case 1: Register User","Automation Exercise - Login Feature","Mon Aug 18 23:41:10 UTC 2025","passed","Mon Aug 18 23:41:18 UTC 2025","","","",""
"","2949","Test Case 2: Login User with correct email and password","Automation Exercise - Login Feature","Mon Aug 18 23:41:18 UTC 2025","passed","Mon Aug 18 23:41:21 UTC 2025","","","",""
"","3647","Test Case 8: Verify All Products and product detail page","Automation Exercise - Products Feature","Mon Aug 18 23:41:36 UTC 2025","passed","Mon Aug 18 23:41:39 UTC 2025","","","",""
"","2098","Test Case 3: Login User with incorrect email and password","Automation Exercise - Login Feature","Mon Aug 18 23:41:21 UTC 2025","passed","Mon Aug 18 23:41:23 UTC 2025","","","",""
"","15557","Test Case 15: Place Order: Register before Checkout","Automation Exercise - Products Feature","Mon Aug 18 23:41:42 UTC 2025","passed","Mon Aug 18 23:41:58 UTC 2025","","","",""
"","2157","Test Case 5: Register User with existing email","Automation Exercise - Login Feature","Mon Aug 18 23:41:27 UTC 2025","passed","Mon Aug 18 23:41:29 UTC 2025","","","",""
"","3339","Test Case 4: Logout User","Automation Exercise - Login Feature","Mon Aug 18 23:41:23 UTC 2025","passed","Mon Aug 18 23:41:27 UTC 2025","","","",""
"","5631","Test Case 6: Contact Us Form","Automation Exercise - Contact Us Feature","Mon Aug 18 23:40:57 UTC 2025","passed","Mon Aug 18 23:41:02 UTC 2025","","","",""
"","1755","Test Case 10: Verify Subscription in home page","Automation Exercise","Mon Aug 18 23:42:01 UTC 2025","passed","Mon Aug 18 23:42:03 UTC 2025","","","",""
"","2430","Test Case 9: Search Product","Automation Exercise - Products Feature","Mon Aug 18 23:41:40 UTC 2025","passed","Mon Aug 18 23:41:42 UTC 2025","","","",""
