"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4479","Test Case 6: Contact Us Form","Automation Exercise - Contact Us Feature","Tue Nov 19 01:48:51 GMT 2024","passed","Tue Nov 19 01:48:55 GMT 2024","","","",""
"","1415","Test Case 10: Verify Subscription in home page","Automation Exercise","Tue Nov 19 01:49:52 GMT 2024","passed","Tue Nov 19 01:49:53 GMT 2024","","","",""
"","2259","Test Case 5: Register User with existing email","Automation Exercise - Login Feature","Tue Nov 19 01:49:20 GMT 2024","passed","Tue Nov 19 01:49:22 GMT 2024","","","",""
"","3606","Test Case 4: Logout User","Automation Exercise - Login Feature","Tue Nov 19 01:49:16 GMT 2024","passed","Tue Nov 19 01:49:20 GMT 2024","","","",""
"","14089","Test Case 15: Place Order: Register before Checkout","Automation Exercise - Products Feature","Tue Nov 19 01:49:35 GMT 2024","passed","Tue Nov 19 01:49:49 GMT 2024","","","",""
"","7916","Test Case 1: Register User","Automation Exercise - Login Feature","Tue Nov 19 01:49:03 GMT 2024","passed","Tue Nov 19 01:49:11 GMT 2024","","","",""
"","2281","Test Case 9: Search Product","Automation Exercise - Products Feature","Tue Nov 19 01:49:32 GMT 2024","passed","Tue Nov 19 01:49:35 GMT 2024","","","",""
"","2974","Test Case 8: Verify All Products and product detail page","Automation Exercise - Products Feature","Tue Nov 19 01:49:29 GMT 2024","passed","Tue Nov 19 01:49:32 GMT 2024","","","",""
"","2544","Test Case 3: Login User with incorrect email and password","Automation Exercise - Login Feature","Tue Nov 19 01:49:14 GMT 2024","passed","Tue Nov 19 01:49:16 GMT 2024","","","",""
"","2971","Test Case 2: Login User with correct email and password","Automation Exercise - Login Feature","Tue Nov 19 01:49:11 GMT 2024","passed","Tue Nov 19 01:49:14 GMT 2024","","","",""
